created_at	updated_at	lead_time	text	label	id	annotator	annotation_id
2023-03-28T08:49:04.295070Z	2023-03-28T08:49:04.295070Z	7.065	Что будет, если вовремя не заплатить налог	[{"start": 16, "end": 42, "text": "вовремя не заплатить налог", "labels": ["операция"]}]	121	1	109
2023-03-28T08:49:17.835996Z	2023-03-28T08:49:17.835996Z	12.138	Нужно ли самозанятому иметь статус ИП	[{"start": 9, "end": 21, "text": "самозанятому", "labels": ["соц_статус_человека"]}]	122	1	110
2023-03-28T08:49:25.916419Z	2023-03-28T08:49:25.916419Z	6.873	Что делать, если штраф оплачен, но пришло уведомление о новом делопроизводстве	[{"start": 17, "end": 30, "text": "штраф оплачен", "labels": ["операция"]}]	123	1	111
2023-03-28T08:49:33.691227Z	2023-03-28T08:49:33.691227Z	6.484	Где хранится кредитная история	[{"start": 13, "end": 30, "text": "кредитная история", "labels": ["документ"]}]	124	1	112
2023-03-28T08:49:38.314900Z	2023-03-28T08:49:38.314900Z	3.63	Какие сведения содержит справка о доходах	[{"start": 24, "end": 41, "text": "справка о доходах", "labels": ["документ"]}]	125	1	113
2023-03-28T08:49:50.381627Z	2023-03-28T08:49:50.381627Z	10.871	Может ли пенсионер применять НПД	[{"start": 9, "end": 18, "text": "пенсионер", "labels": ["соц_статус_человека"]}]	126	1	114
2023-03-28T08:50:04.862432Z	2023-03-28T08:50:04.862432Z	13.385	Что делать, если приходят штрафы за проданную машину	[{"start": 17, "end": 32, "text": "приходят штрафы", "labels": ["операция"]}]	127	1	115
2023-03-28T08:50:15.714324Z	2023-03-28T08:50:15.714324Z	9.609	Что такое регистратор финансовых транзакций (РФТ)	[{"start": 45, "end": 48, "text": "РФТ", "labels": ["гос_орган"]}]	128	1	116
2023-03-28T08:50:27.708431Z	2023-03-28T08:50:27.708431Z	10.834	Особенности оформления справки о доходах во время декретного отпуска	[{"start": 23, "end": 40, "text": "справки о доходах", "labels": ["документ"]}, {"start": 41, "end": 68, "text": "во время декретного отпуска", "labels": ["соц_статус_человека"]}]	129	1	117
2023-03-28T08:50:39.986628Z	2023-03-28T08:50:39.986628Z	10.97	Идёт ли период самозанятости в пенсионный стаж	[{"start": 8, "end": 28, "text": "период самозанятости", "labels": ["соц_статус_человека"]}]	130	1	118
2023-03-28T08:51:44.438728Z	2023-03-28T08:51:44.438728Z	60.029	Можно ли применять НПД при сдаче квартиры	[{"start": 23, "end": 41, "text": "при сдаче квартиры", "labels": ["операция"]}]	131	1	119
2023-03-28T08:51:59.891460Z	2023-03-28T08:51:59.891460Z	14.253	Почему место нарушения на карте не совпадает с адресом из постановления о штрафе	[{"start": 58, "end": 80, "text": "постановления о штрафе", "labels": ["документ"]}]	132	1	120
2023-03-28T08:52:31.259318Z	2023-03-28T08:52:31.259318Z	29.917	Как посмотреть, за что начислен налог	[{"start": 23, "end": 37, "text": "начислен налог", "labels": ["операция"]}]	133	1	121
2023-03-28T08:52:48.306848Z	2023-03-28T08:53:01.217767Z	28.614	Можно ли запретить банку передавать данные о кредите в бюро кредитных историй	[{"start": 9, "end": 24, "text": "запретить банку", "labels": ["операция"]}, {"start": 55, "end": 77, "text": "бюро кредитных историй", "labels": ["гос_орган"]}, {"start": 36, "end": 52, "text": "данные о кредите", "labels": ["документ"]}]	134	1	122
2023-03-28T08:53:06.980194Z	2023-03-28T08:53:06.980194Z	4.226	В каком возрасте можно вступать в брак	[{"start": 23, "end": 38, "text": "вступать в брак", "labels": ["операция"]}]	135	1	123
2023-03-28T08:53:16.931998Z	2023-03-28T08:53:16.931998Z	8.768	Как зарегистрировать рождение	[{"start": 4, "end": 29, "text": "зарегистрировать рождение", "labels": ["операция"]}]	136	1	124
2023-03-28T08:55:08.020353Z	2023-03-28T08:55:08.020353Z	109.468	Развод по взаимному согласию	[{"start": 0, "end": 6, "text": "Развод", "labels": ["операция"]}]	137	1	125
2023-03-28T08:55:22.298937Z	2023-03-28T08:55:22.298937Z	13.038	Какие существуют правила при выборе имени и фамилии для ребёнка	[{"start": 25, "end": 51, "text": "при выборе имени и фамилии", "labels": ["операция"]}, {"start": 52, "end": 63, "text": "для ребёнка", "labels": ["соц_статус_человека"]}]	138	1	126
2023-03-28T08:55:31.313818Z	2023-03-28T08:55:31.313818Z	7.971	Как иностранцам зарегистрировать брак в России	[{"start": 4, "end": 15, "text": "иностранцам", "labels": ["соц_статус_человека"]}, {"start": 16, "end": 37, "text": "зарегистрировать брак", "labels": ["операция"]}]	139	1	127
2023-03-28T08:55:50.145333Z	2023-03-28T08:55:50.145333Z	17.769	Если один из супругов не согласен с расторжением брака	[{"start": 5, "end": 21, "text": "один из супругов", "labels": ["соц_статус_человека"]}, {"start": 36, "end": 54, "text": "расторжением брака", "labels": ["операция"]}]	140	1	128
2023-03-28T08:56:11.527215Z	2023-03-28T08:56:11.527215Z	20.219	Какие документы надо обновить после развода при смене фамилии	[{"start": 44, "end": 61, "text": "при смене фамилии", "labels": ["операция"]}]	141	1	129
2023-03-28T08:56:18.812167Z	2023-03-28T08:56:18.812167Z	6.13	Как получить повторное свидетельство о расторжении брака	[{"start": 23, "end": 56, "text": "свидетельство о расторжении брака", "labels": ["документ"]}]	142	1	130
2023-03-28T08:56:32.323324Z	2023-03-28T08:56:32.323324Z	9.039	Что входит в состав наследства	[{"start": 20, "end": 30, "text": "наследства", "labels": ["документ"]}]	143	1	131
2023-03-28T08:56:38.317163Z	2023-03-28T08:56:38.317163Z	4.045	Что такое наследственное дел	[{"start": 10, "end": 28, "text": "наследственное дел", "labels": ["документ"]}]	144	1	132
2023-03-28T08:56:51.412830Z	2023-03-28T08:56:51.412830Z	11.971	Как можно вступить в наследство	[{"start": 21, "end": 31, "text": "наследство", "labels": ["документ"]}, {"start": 10, "end": 18, "text": "вступить", "labels": ["операция"]}]	145	1	133
2023-03-28T08:57:16.792203Z	2023-03-28T08:57:16.793130Z	24.159	Наследуются ли долги умершего человека	[{"start": 15, "end": 38, "text": "долги умершего человека", "labels": ["документ"]}, {"start": 0, "end": 11, "text": "Наследуются", "labels": ["операция"]}]	146	1	134
2023-03-28T08:57:37.412743Z	2023-03-28T08:57:37.413762Z	19.356	Возможно ли изменить имя и фамилию при регистрации брака	[{"start": 12, "end": 34, "text": "изменить имя и фамилию", "labels": ["операция"]}, {"start": 39, "end": 56, "text": "регистрации брака", "labels": ["операция"]}]	147	1	135
2023-03-28T08:59:28.954860Z	2023-03-28T08:59:28.954860Z	110.225	Как зарегистрировать установление отцовства	[{"start": 21, "end": 43, "text": "установление отцовства", "labels": ["операция"]}]	148	1	136
2023-03-28T08:59:42.105616Z	2023-03-28T08:59:42.105616Z	11.889	Как оформить алименты через суд	[{"start": 4, "end": 21, "text": "оформить алименты", "labels": ["операция"]}, {"start": 22, "end": 31, "text": "через суд", "labels": ["гос_орган"]}]	149	1	137
2023-03-28T09:03:51.071563Z	2023-03-28T09:03:51.071563Z	247.657	Что такое брачный договор	[{"start": 10, "end": 25, "text": "брачный договор", "labels": ["документ"]}]	150	1	138
2023-03-28T09:04:07.711710Z	2023-03-28T09:04:07.711710Z	15.381	Можно ли венчаться без свидетельства о браке	[{"start": 9, "end": 18, "text": "венчаться", "labels": ["операция"]}, {"start": 23, "end": 44, "text": "свидетельства о браке", "labels": ["документ"]}]	151	1	139
2023-03-28T09:07:13.067032Z	2023-03-28T09:07:13.068031Z	1.515	Что такое электронная трудовая книжка?	[{"start": 10, "end": 37, "text": "электронная трудовая книжка", "labels": ["документ"]}]	152	1	141
2023-03-28T09:07:10.101195Z	2023-03-28T09:07:10.102130Z	60.244	Как оформить пособие по безработице?	[{"start": 4, "end": 20, "text": "оформить пособие", "labels": ["операция"]}]	153	1	140
2023-03-28T09:07:23.507529Z	2023-03-28T09:07:23.507529Z	9.199	Как скорректировать данные в электронной трудовой?	[{"start": 27, "end": 49, "text": "в электронной трудовой", "labels": ["документ"]}, {"start": 4, "end": 26, "text": "скорректировать данные", "labels": ["операция"]}]	154	1	142
2023-03-28T09:07:40.411407Z	2023-03-28T09:07:40.411407Z	15.4	Как получить выписку из электронной трудовой книжки	[{"start": 24, "end": 51, "text": "электронной трудовой книжки", "labels": ["документ"]}]	155	1	143
2023-03-28T09:08:04.670551Z	2023-03-28T09:08:04.670551Z	22.96	Какой размер пособия по безработице	[{"start": 13, "end": 35, "text": "пособия по безработице", "labels": ["операция"]}]	156	1	144
2023-03-28T09:08:23.088447Z	2023-03-28T09:08:23.088447Z	17.165	Как получить документ о статусе безработного	[{"start": 32, "end": 44, "text": "безработного", "labels": ["соц_статус_человека"]}, {"start": 13, "end": 31, "text": "документ о статусе", "labels": ["документ"]}]	157	1	145
2023-03-28T09:09:25.246024Z	2023-03-28T09:09:25.246024Z	60.931	Как долго можно стоять на учёте и получать пособие	[{"start": 34, "end": 50, "text": "получать пособие", "labels": ["операция"]}, {"start": 16, "end": 31, "text": "стоять на учёте", "labels": ["операция"]}]	158	1	146
2023-03-28T09:09:46.732193Z	2023-03-28T09:09:46.732193Z	20.238	Как сняться с учёта в качестве безработного	[{"start": 31, "end": 43, "text": "безработного", "labels": ["соц_статус_человека"]}, {"start": 4, "end": 19, "text": "сняться с учёта", "labels": ["операция"]}]	159	1	147
2023-03-28T09:09:57.610502Z	2023-03-28T09:09:57.610502Z	9.405	Можно ли получить пособие, если не работали больше года	[{"start": 9, "end": 25, "text": "получить пособие", "labels": ["операция"]}]	160	1	148
2023-03-28T09:10:22.799711Z	2023-03-28T09:10:22.799711Z	23.94	Зависит ли размер пособия от причины увольнения	[{"start": 18, "end": 25, "text": "пособия", "labels": ["документ"]}]	161	1	149
2023-03-28T09:10:45.884660Z	2023-03-28T09:10:45.884660Z	21.988	Когда нужно встать на учёт в центре занятости, чтобы получить пособие	[{"start": 12, "end": 26, "text": "встать на учёт", "labels": ["операция"]}, {"start": 53, "end": 69, "text": "получить пособие", "labels": ["операция"]}, {"start": 27, "end": 45, "text": "в центре занятости", "labels": ["гос_орган"]}]	162	1	150
2023-03-28T09:11:58.649588Z	2023-03-28T09:11:58.649588Z	71.219	Как дополнить ЭТК сведениями из бумажной трудовой	[{"start": 14, "end": 17, "text": "ЭТК", "labels": ["документ"]}, {"start": 32, "end": 49, "text": "бумажной трудовой", "labels": ["документ"]}]	163	1	151
2023-03-28T09:12:10.542861Z	2023-03-28T09:12:10.542861Z	10.854	На каких основаниях иностранец может работать в России	[{"start": 20, "end": 30, "text": "иностранец", "labels": ["соц_статус_человека"]}, {"start": 37, "end": 54, "text": "работать в России", "labels": ["операция"]}]	164	1	152
2023-03-28T09:12:22.450579Z	2023-03-28T09:12:22.450579Z	10.244	Как зарегистрировать новый автомобиль	[{"start": 4, "end": 37, "text": "зарегистрировать новый автомобиль", "labels": ["операция"]}]	165	1	153
2023-03-28T09:12:34.388887Z	2023-03-28T09:12:34.388887Z	10.777	Как получить водительские права впервые	[{"start": 13, "end": 39, "text": "водительские права впервые", "labels": ["документ"]}, {"start": 4, "end": 12, "text": "получить", "labels": ["операция"]}]	166	1	154
2023-03-28T09:12:41.485382Z	2023-03-28T09:12:41.485382Z	5.844	Что такое европротокол	[{"start": 10, "end": 22, "text": "европротокол", "labels": ["документ"]}]	167	1	155
2023-03-28T09:12:51.598907Z	2023-03-28T09:12:51.598907Z	8.969	Какие права продляются автоматически	[{"start": 6, "end": 11, "text": "права", "labels": ["документ"]}, {"start": 12, "end": 36, "text": "продляются автоматически", "labels": ["операция"]}]	168	1	156
2023-03-28T09:13:01.833586Z	2023-03-28T09:13:01.833586Z	9.114	Можно ли убрать машины с дороги, если ДТП мешает дорожному движению	[{"start": 9, "end": 22, "text": "убрать машины", "labels": ["операция"]}]	169	1	157
2023-03-28T09:13:07.698994Z	2023-03-28T09:13:07.698994Z	4.615	Как проверить штрафы на автомобиль	[{"start": 4, "end": 20, "text": "проверить штрафы", "labels": ["операция"]}]	170	1	158
2023-03-28T09:13:15.498857Z	2023-03-28T09:13:15.498857Z	6.855	Как записаться на приём в ГИБДД	[{"start": 26, "end": 31, "text": "ГИБДД", "labels": ["гос_орган"]}, {"start": 4, "end": 23, "text": "записаться на приём", "labels": ["операция"]}]	171	1	159
2023-03-28T09:13:23.478703Z	2023-03-28T09:13:23.478703Z	6.937	Когда нужны права на управление маломерными судами	[{"start": 12, "end": 50, "text": "права на управление маломерными судами", "labels": ["документ"]}]	172	1	160
2023-03-28T09:13:37.672971Z	2023-03-28T09:13:37.672971Z	13.054	Как зарегистрировать автомобиль на ребёнка	[{"start": 4, "end": 31, "text": "зарегистрировать автомобиль", "labels": ["операция"]}, {"start": 32, "end": 42, "text": "на ребёнка", "labels": ["соц_статус_человека"]}]	173	1	161
2023-03-28T09:13:52.474924Z	2023-03-28T09:13:52.474924Z	13.82	Как снять запрет на регистрацию автомобиля	[{"start": 17, "end": 42, "text": "на регистрацию автомобиля", "labels": ["операция"]}, {"start": 4, "end": 16, "text": "снять запрет", "labels": ["операция"]}]	174	1	162
2023-03-28T09:13:58.977367Z	2023-03-28T09:13:58.977367Z	5.477	Как зарегистрировать новый автомобиль	[{"start": 4, "end": 37, "text": "зарегистрировать новый автомобиль", "labels": ["операция"]}]	175	1	163
2023-03-28T09:15:12.657460Z	2023-03-28T09:15:12.657460Z	57.948	Со скольких лет можно получать водительские права	[{"start": 31, "end": 49, "text": "водительские права", "labels": ["документ"]}]	177	1	164
2023-03-28T09:15:21.552225Z	2023-03-28T09:15:21.552225Z	6.78	Что понадобится для поездки за границу на автомобиле	[{"start": 16, "end": 52, "text": "для поездки за границу на автомобиле", "labels": ["операция"]}]	178	1	165
2023-03-28T09:15:32.227399Z	2023-03-28T09:15:32.227399Z	9.344	Обязательно ли менять бумажный ПТС на электронный	[{"start": 22, "end": 34, "text": "бумажный ПТС", "labels": ["документ"]}]	179	1	166
